study,zF,xD_bz,xB_tol,F,D
zF,0.45,0.5548172716253327,0.99999999,,
zF,0.5,0.9685216858956862,0.9685216858956832,,
zF,0.55,0.9998301947186223,0.7491379763361989,,
F,,0.9685216858956833,0.9685216858956831,80.0,40.0
F,,0.9685216858956862,0.9685216858956832,100.0,50.0
F,,0.9685216858956828,0.9685216858956853,120.0,60.0
combined,0.45,0.5548172716180854,0.99999999,80.0,40.0
combined,0.45,0.5548172716268103,0.99999999,120.0,60.0
combined,0.55,0.9998301947187322,0.7491379759793066,80.0,40.0
combined,0.55,0.999830194718637,0.7491379762433329,120.0,60.0
